"","FC","log2(FC)","raw.pval","-log10(p)"
"d-Galactitol",0.26465,-1.9178,1.1347e-05,4.9451
"d-Sorbitol",0.45696,-1.1299,0.00082932,3.0813
"Hypoxanthine",0.4108,-1.2835,0.0025726,2.5896
"Mannose",0.49983,-1.0005,0.0070521,2.1517
"Phenylalanine",0.33863,-1.5622,0.010259,1.9889
"a-ketoglutaric acid",0.24402,-2.0349,0.022197,1.6537
"d-Gluconic acid",0.4417,-1.1789,0.028725,1.5417
"Malic acid",0.35268,-1.5036,0.037772,1.4228
"4-Hydroxyproline",0.23835,-2.0689,0.047977,1.319
