"","FC","log2(FC)","raw.pval","-log10(p)"
"Phenylalanine",0.31596,-1.6622,0.00032321,3.4905
"d-Sorbitol",0.46439,-1.1066,0.00064641,3.1895
"Sedoheptulose",0.35345,-1.5004,0.0018375,2.7358
"d-Galactitol",0.37807,-1.4033,0.0036412,2.4387
"d-Gluconic acid",0.43286,-1.208,0.013189,1.8798
"Saccharic acid",0.36784,-1.4428,0.03959,1.4024
