"","CSF 1","CSF 2","CSF 3","CSF 4","CSF 5","CSF 6","CSF 7","CSF 8","CSF 9","CSF 10","CSF 11","CSF 12","CSF 13","CSF 14","CSF 15","CSF 16","CSF 17","CSF 18","CSF 19","CSF 20","CSF 21","CSF 22","CSF 23","CSF 24","CSF 25","CSF 26","CSF 27","CSF 28","CSF 29","CSF 30","CSF 31","CSF 32","CSF 33","CSF 34","CSF 35","CSF 36","CSF 37","CSF 38","CSF 39","CSF 40","CSF 41","CSF 42"
"3-Hydroxyanthranilic"," 1.9942234"," 0.8899000"," 0.5629892"," 0.3788705","20.6354214"," 2.0039562"," 1.8586607"," 1.0681420"," 2.0685791"," 0.7736347"," 0.7999564"," 3.9294368"," 2.8688326"," 0.4058017"," 1.9365346"," 2.1732230"," 3.3136614"," 1.9682665"," 1.4779389"," 1.4089971"," 1.2075924"," 0.9483177"," 0.2113881"," 1.4259640"," 1.8048649"," 0.9719738"," 0.6974791","18.4351083"," 1.6303467"," 0.6121930"," 0.6291868"," 2.3518312"," 1.0501772"," 0.8323259"," 0.9831256"," 0.4888463"," 6.5001738"," 1.9711130"," 1.9414132"," 0.4258979"," 2.8525155"," 0.2349307"
"C4:0 (Carn)","0.04038809","0.05256681","0.02903568","0.02146174","0.06153233","0.04384842","0.01234737","0.04342051","0.03761560","0.06030005","0.04897432","0.02646133","0.38732010","0.01029923","0.03813092","0.05656707","0.02838881","0.09392667","0.03798629","0.02787235","0.04561087","0.02833729","0.07101737","0.03499754","0.03091800","0.05843485","0.03383912","0.01631541","0.37935140","0.02585276","0.05961845","0.07261451","0.02538354","0.03002376","0.04762174","0.02578060","0.04321330","0.03481842","0.04815333","0.02454649","0.04469238","0.01645281"
"C5-M-DC/C6-DC (Carn)","0.0045094653","0.0028217061","0.0047275991","0.0010569717","0.0009688519","0.0029022606","0.0042783463","0.0042871148","0.0028047148","0.0052768891","0.0063773848","0.0101632846","0.0017752456","0.0005393471","0.0039396794","0.0056712425","0.0043075154","0.0039679162","0.0054820832","0.0032460253","0.0057612023","0.0021023997","0.0094819980","0.0033475099","0.0063006424","0.0024318463","0.0028348658","0.0091268801","0.0037814448","0.0023699878","0.0027980802","0.0026570553","0.0035812195","0.0022571799","0.0059917294","0.0010380883","0.0036968875","0.0021831752","0.0022227729","0.0016575827","0.0048387199","0.0021950271"
"Tryptophan"," 1.807697"," 3.103952"," 2.283841"," 2.562033"," 2.256181"," 2.807991"," 4.084842"," 2.562571"," 2.104312"," 2.493333"," 1.837312"," 2.798752"," 2.512456"," 1.437854"," 3.195251"," 4.888904"," 3.161832"," 3.669340"," 2.232941"," 2.186074"," 2.785600"," 1.523404"," 3.528303"," 2.689162"," 3.673109"," 1.282727"," 1.792158"," 3.394290"," 2.144651"," 2.897114"," 2.296513"," 2.483039"," 2.337464"," 1.199988"," 2.671789"," 1.981215"," 1.794979"," 2.147834"," 1.637868"," 2.038309"," 3.573207"," 1.977678"
"C5:1 (Carn)","0.011965345","0.007678134","0.008341957","0.008432389","0.008694058","0.004949055","0.003377617","0.011658673","0.006546673","0.007858130","0.009770789","0.007897215","0.008076458","0.001925877","0.007829862","0.019307351","0.004876668","0.017389437","0.009472122","0.006076244","0.078951829","0.004347011","0.032754661","0.006993411","0.006950698","0.006959808","0.009163807","0.024316329","0.012485483","0.005142979","0.007931507","0.007885316","0.007012244","0.006509429","0.006070680","0.005250163","0.007225304","0.007122309","0.005569905","0.007400104","0.010501981","0.004789986"
"C5:0 (Carn)","0.008985070","0.009944977","0.010135517","0.007438584","0.019029255","0.007357653","0.004657828","0.011903963","0.010111717","0.009991510","0.015005297","0.006834241","0.059512214","0.002575660","0.014370160","0.038556028","0.008281178","0.028392817","0.012680055","0.007042893","0.019700382","0.009725083","0.033150115","0.013739651","0.007699375","0.010254751","0.012469358","0.004488526","0.052729666","0.009432534","0.024320318","0.017148818","0.004268331","0.009761467","0.018081098","0.008497495","0.012198226","0.009230078","0.019183781","0.007626785","0.010392319","0.005638761"
"Anthranilic","0.003434152","0.002812362","0.006795470","0.002618472","0.048373389","0.012770921","0.006335446","0.010062199","0.005335165","0.001055889","0.004664271","0.001818967","0.009599259","0.006704173","0.003352630","0.005639697","0.002808221","0.007794099","0.003938048","0.003145021","0.009859465","0.005220162","0.106343318","0.002682165","0.001800140","0.010963702","0.003465876","1.016755765","0.006902328","0.006306240","0.004060661","0.002618310","0.033066634","0.002394861","0.001663903","0.006299160","0.015100972","0.011299130","0.005033486","0.006178835","0.002297204","0.001411924"
"5-Hydroxyindole-3-acetic","0.10975759","0.17367021","0.18937920","0.23501857","0.13509013","0.31609823","0.25713797","0.30009301","0.22159666","0.23251791","0.26580642","0.24008103","0.19276664","0.09241139","0.80466117","1.21891729","0.28229214","0.59959080","0.08814542","0.25029439","0.41261806","0.12343719","0.60565194","0.31832300","0.17644976","0.16736555","0.18961352","0.28459247","0.26161476","0.30082062","0.46138623","0.09281506","0.15095118","0.12362116","0.11924254","0.06461663","0.11996044","0.17134291","0.14555503","0.15755265","0.91889681","0.52992141"
"C6:0 (Carn)","0.0016107506","0.0005214017","0.0005975263","0.0004494292","0.0004647816","0.0001562714","0.0002197562","0.0008103309","0.0002475729","0.0002638173","0.0004720737","0.0002155521","0.0014750322","0.0001804716","0.0006182764","0.0006951195","0.0003322837","0.0025037393","0.0006338329","0.0004139516","0.0022268416","0.0007658778","0.0012349337","0.0003400035","0.0009149270","0.0004451952","0.0008934943","0.0003324731","0.0006269263","0.0008030562","0.0008476550","0.0007208275","0.0012274259","0.0004182769","0.0014523717","0.0002619850","0.0005962473","0.0003319190","0.0003751879","0.0006912811","0.0002793184","0.0002586048"
"N-Acetyl-5-hydroxytryptamine","2.294281e-04","3.388996e-04","2.914802e-04","3.417031e-04","8.290999e-04","1.964428e-04","4.067038e-04","4.264195e-04","6.762204e-04","3.187837e-04","2.347528e-04","5.641345e-04","3.409760e-04","1.644256e-04","6.712318e-04","5.483420e-04","2.812791e-04","6.241012e-04","4.878813e-04","2.047569e-04","4.571790e-04","3.122314e-04","4.536083e-04","3.183321e-04","3.831085e-04","1.998910e-04","3.024420e-04","8.361576e-03","2.658225e-04","3.855087e-04","4.722546e-04","3.526416e-04","2.451596e-04","1.183911e-04","2.745616e-04","1.948362e-04","1.904345e-04","1.661011e-04","9.313665e-05","3.351400e-04","4.816732e-04","2.240303e-04"
