"","FC","log2(FC)","raw.pval","-log10(p)"
"Mannose",0.35438,-1.4966,2.0402e-07,6.6903
"d-Galactitol",0.30246,-1.7252,2.1725e-05,4.663
"Hypoxanthine",0.16432,-2.6054,7.3142e-05,4.1358
"d-Fructose",0.48941,-1.0309,0.00045967,3.3376
"Lactic acid",1.4158,0.50166,0.006094,2.2151
"Alanine",1.5228,0.60675,0.013845,1.8587
"Phenylalanine",0.32136,-1.6377,0.016468,1.7834
"2-Hydroxyisovaleric acid",2.9638,1.5674,0.021486,1.6678
